DllPath,ForwardedImport,DllImportPath,DLLExportFunc,DLLBareName,ExportDLLName,ForwardDLLBareName
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_alloc_context,ffmpeg_orig,avformat_alloc_context,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_alloc_output_context2,ffmpeg_orig,avformat_alloc_output_context2,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_close_input,ffmpeg_orig,avformat_close_input,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_find_stream_info,ffmpeg_orig,avformat_find_stream_info,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_free_context,ffmpeg_orig,avformat_free_context,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_new_stream,ffmpeg_orig,avformat_new_stream,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_open_input,ffmpeg_orig,avformat_open_input,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avformat_write_header,ffmpeg_orig,avformat_write_header,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avio_alloc_context,ffmpeg_orig,avio_alloc_context,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avio_close,ffmpeg_orig,avio_close,ffmpeg,ffmpeg_orig,ffmpeg_orig
C:\Users\student\AppData\Local\Discord\app-1.0.9191\ffmpeg.dll,ffmpeg_orig.avio_open,ffmpeg_orig,avio_open,ffmpeg,ffmpeg_orig,ffmpeg_orig
